Season,Agency,Date,Time,Station ID,Depth(m),Temperature(C),Conductivity (S/m),pH,Oxygen (mg/L),Transmissivity (%),Salinity (psu),Density (å-theta),Time (s),Descent rate (m/s),SBE DO sat (mg/L),SBE Beam C,Chl-a (ug/L),CDOM (ug/L),Ammonia-N (ug/L),Total Colif. (MPN),Fecal Colif. (MPN),E. coli (MPN),Enterococci (MPN),Void
Winter,OCSD,2/5/2008,717,1902,9,13.44,3.963,8.12,8.14,80.09,33.338,25.018,24,0.77,8.48,0.888,5.51,1.64,,,,,,99
Winter,OCSD,2/5/2008,717,1902,10,13.43,3.963,8.12,8.11,80.3,33.339,25.021,25.5,0.59,8.48,0.878,5.37,1.66,,,,,,99
Winter,OCSD,2/5/2008,717,1902,11,13.42,3.962,8.12,8.09,80.07,33.344,25.026,27,0.83,8.48,0.889,5.2,1.71,,,,,,99
Winter,OCSD,2/5/2008,717,1902,12,13.38,3.96,8.12,8.07,79.85,33.352,25.04,28.6,0.55,8.49,0.9,4.81,1.74,,,,,,99
Winter,OCSD,2/5/2008,717,1902,13,13.34,3.956,8.11,8.01,80.01,33.363,25.058,30.3,0.63,8.49,0.892,4.3,1.72,,,,,,99
Winter,OCSD,2/5/2008,717,1902,14,13.31,3.955,8.11,7.93,80.41,33.369,25.068,31.6,0.9,8.5,0.872,4.2,1.7,,,,,,99
Winter,OCSD,2/5/2008,717,1902,15,13.29,3.954,8.1,7.84,80.51,33.377,25.078,32.9,0.65,8.5,0.867,3.68,1.71,,,,,,99
Winter,OCSD,2/5/2008,717,1902,16,13.28,3.953,8.1,7.75,81.17,33.382,25.084,34.7,0.52,8.5,0.835,3.55,1.83,,,,,,99
Winter,OCSD,2/5/2008,717,1902,17,13.26,3.952,8.09,7.7,81.51,33.389,25.094,36.4,0.74,8.51,0.818,3.61,2.24,,,,,,99
Winter,OCSD,2/5/2008,717,1902,18,13.2,3.948,8.09,7.66,81.72,33.401,25.116,37.8,0.68,8.52,0.808,3.32,2.62,,,,,,99
Winter,OCSD,2/5/2008,717,1902,19,13.01,3.932,8.08,7.58,81.92,33.42,25.168,39.2,0.73,8.55,0.798,2.83,2.73,,,,,,99
Winter,OCSD,2/5/2008,717,1902,20,12.58,3.894,8.06,7.37,81.4,33.437,25.266,40.6,0.71,8.63,0.823,1.65,2.7,,,,,,99
Winter,OCSD,2/5/2008,717,1902,21,12.49,3.885,8.01,6.8,83.12,33.43,25.277,42.2,0.59,8.64,0.74,0.91,2.66,,,,,,99
Winter,OCSD,2/5/2008,717,1902,22,12.41,3.878,7.98,6.39,83.94,33.436,25.296,43.7,0.76,8.66,0.7,0.75,2.58,,,,,,99
Winter,OCSD,2/5/2008,717,1902,23,12.34,3.872,7.96,6.19,84.16,33.442,25.315,45.2,0.64,8.67,0.69,0.7,2.55,,,,,,99
Winter,OCSD,2/5/2008,717,1902,24,12.25,3.865,7.95,6.04,84.36,33.45,25.34,46.8,0.64,8.69,0.68,0.61,2.64,,,,,,99
Winter,OCSD,2/5/2008,717,1902,25,12.13,3.856,7.95,5.94,84.81,33.468,25.374,48.3,0.68,8.71,0.659,0.6,3.08,,,,,,99
Winter,OCSD,2/5/2008,717,1902,26,12.07,3.85,7.93,5.82,84.9,33.471,25.39,49.7,0.72,8.72,0.655,0.57,2.94,,,,,,99
Winter,OCSD,2/5/2008,717,1902,27,11.89,3.832,7.92,5.7,84.93,33.451,25.407,51.2,0.64,8.75,0.653,0.52,2.28,,,,,,99
Winter,OCSD,2/5/2008,717,1902,28,11.81,3.828,7.9,5.49,84.54,33.489,25.453,52.9,0.57,8.77,0.672,0.49,1.7,,,,,,99
Winter,OCSD,2/5/2008,717,1902,29,11.74,3.826,7.89,5.33,84.54,33.533,25.499,54.5,0.75,8.78,0.672,0.49,1.5,,,,,,99
Winter,OCSD,2/5/2008,717,1902,30,11.64,3.82,7.89,5.31,85.88,33.558,25.538,55.7,0.85,8.79,0.609,0.5,1.47,,,,,,99
Winter,OCSD,2/5/2008,717,1902,31,11.59,3.815,7.89,5.3,86.65,33.562,25.55,57.1,0.64,8.8,0.573,0.45,1.45,,,,,,99
Winter,OCSD,2/5/2008,717,1902,32,11.58,3.815,7.89,5.29,87.29,33.561,25.551,58.6,0.65,8.8,0.544,0.44,1.41,,,,,,99
Winter,OCSD,2/5/2008,717,1902,33,11.55,3.812,7.89,5.3,87.45,33.563,25.557,60.2,0.67,8.81,0.536,0.43,1.41,,,,,,99
Winter,OCSD,2/5/2008,717,1902,34,11.52,3.81,7.89,5.32,87.55,33.565,25.564,61.8,0.57,8.82,0.532,0.43,1.42,,,,,,99
Winter,OCSD,2/5/2008,717,1902,35,11.49,3.808,7.89,5.32,87.63,33.574,25.578,63.4,0.73,8.82,0.528,0.45,1.4,,,,,,99
Winter,OCSD,2/5/2008,717,1902,36,11.47,3.806,7.89,5.3,87.46,33.58,25.586,64.8,0.75,8.82,0.536,0.4,1.4,,,,,,99
Winter,OCSD,2/5/2008,717,1902,37,11.41,3.802,7.88,5.26,87.05,33.585,25.6,66.2,0.67,8.83,0.555,0.38,1.42,,,,,,99
Winter,OCSD,2/5/2008,717,1902,38,11.35,3.796,7.88,5.23,87.07,33.59,25.616,67.6,0.71,8.85,0.554,0.36,1.44,,,,,,99
Winter,OCSD,2/5/2008,717,1902,39,11.33,3.796,7.88,5.2,87.37,33.601,25.627,69.2,0.63,8.85,0.54,0.38,1.42,,,,,,99
Winter,OCSD,2/5/2008,717,1902,40,11.32,3.796,7.88,5.16,87.54,33.61,25.636,70.7,0.67,8.85,0.532,0.36,1.42,,,,,,99
Winter,OCSD,2/5/2008,717,1902,41,11.26,3.79,7.87,5.09,87.4,33.605,25.644,72.2,0.66,8.86,0.539,0.35,1.4,,,,,,99
Winter,OCSD,2/5/2008,717,1902,42,11.21,3.785,7.87,5.08,87.5,33.608,25.656,73.7,0.69,8.87,0.534,0.34,1.41,,,,,,99
Winter,OCSD,2/5/2008,717,1902,43,11.17,3.783,7.87,5.08,87.65,33.612,25.665,75.3,0.61,8.88,0.527,0.37,1.46,,,,,,99
Winter,OCSD,2/5/2008,717,1902,44,11.16,3.782,7.87,5.07,87.85,33.617,25.67,76.7,0.89,8.88,0.518,0.35,1.51,,,,,,99
Winter,OCSD,2/5/2008,717,1902,45,11.18,3.786,7.87,5.04,87.71,33.631,25.677,78.1,0.61,8.88,0.524,0.34,1.53,,,,,,99
Winter,OCSD,2/5/2008,717,1902,46,11.15,3.786,7.86,4.98,87.67,33.663,25.708,79.6,0.83,8.88,0.526,0.33,1.54,,,,,,99
Winter,OCSD,2/5/2008,717,1902,47,11.14,3.785,7.85,4.86,86.34,33.666,25.713,80.8,0.75,8.88,0.588,0.31,1.56,,,,,,99
Winter,OCSD,2/5/2008,717,1902,48,11.12,3.784,7.84,4.68,86.07,33.673,25.723,82.6,0.48,8.89,0.6,0.31,1.58,,,,,,99
Winter,OCSD,2/5/2008,717,1902,49,11.05,3.78,7.84,4.59,85.37,33.692,25.749,84.2,0.98,8.9,0.633,0.3,1.63,,,,,,99
Winter,OCSD,2/5/2008,717,1902,50,11.06,3.781,7.83,4.53,85.51,33.697,25.752,85.5,0.68,8.9,0.626,0.28,1.64,,,,,,99
Winter,OCSD,2/5/2008,717,1902,51,11.05,3.783,7.83,4.44,85.87,33.721,25.772,87,0.63,8.9,0.609,0.28,1.63,,,,,,99
Winter,OCSD,2/5/2008,717,1902,52,11.02,3.781,7.82,4.31,84.13,33.732,25.787,88.5,0.7,8.9,0.691,0.26,1.62,,,,,,99
Winter,OCSD,2/5/2008,717,1902,53,10.99,3.779,7.81,4.2,84.49,33.736,25.794,90,0.66,8.91,0.674,0.25,1.62,,,,,,99
Winter,OCSD,2/5/2008,717,1902,54,10.96,3.777,7.81,4.12,85.39,33.738,25.8,91.6,0.58,8.91,0.632,0.24,1.67,,,,,,99
Winter,OCSD,2/5/2008,717,1902,55,10.93,3.774,7.81,4.09,85.94,33.748,25.815,93.1,0.96,8.92,0.606,0.24,1.67,,,,,,99
Winter,OCSD,2/5/2008,717,1902,56,10.94,3.778,7.8,4.07,86.11,33.766,25.826,94.2,0.77,8.91,0.598,0.23,1.68,,,,,,99
Winter,OCSD,2/5/2008,717,1902,57,10.94,3.778,7.8,4.02,85.41,33.768,25.827,95.2,0.31,8.91,0.631,0.24,1.69,,,,,,99
Winter,OCSD,2/5/2008,726,1903,1,13.17,3.916,8.16,8.47,68.23,33.134,24.914,13.1,0.52,8.54,1.529,12.35,2.45,,,,,,99
Winter,OCSD,2/5/2008,726,1903,2,13.16,3.915,8.16,8.49,68.54,33.135,24.916,14.3,0.67,8.54,1.511,12.87,2.44,,,,,,99
Winter,OCSD,2/5/2008,726,1903,3,13.16,3.915,8.16,8.49,68.44,33.134,24.916,15.7,0.77,8.54,1.517,12.78,2.29,,,,,,99
Winter,OCSD,2/5/2008,726,1903,4,13.18,3.917,8.16,8.49,68.5,33.136,24.914,17.1,0.67,8.53,1.513,13.01,2.06,,,,,,99
Winter,OCSD,2/5/2008,726,1903,5,13.27,3.931,8.16,8.48,68.77,33.186,24.934,18.5,0.74,8.52,1.498,13.15,1.82,,,,,,99
Winter,OCSD,2/5/2008,726,1903,6,13.36,3.946,8.16,8.46,69.31,33.253,24.968,19.9,0.72,8.5,1.466,12.59,1.7,,,,,,99
Winter,OCSD,2/5/2008,726,1903,7,13.44,3.962,8.15,8.36,73.39,33.329,25.011,21.4,0.64,8.48,1.239,9.69,1.67,,,,,,99
Winter,OCSD,2/5/2008,726,1903,8,13.44,3.964,8.14,8.28,79.22,33.35,25.027,22.9,0.72,8.48,0.932,6.43,1.67,,,,,,99
Winter,OCSD,2/5/2008,726,1903,9,13.44,3.964,8.14,8.2,81.47,33.352,25.03,24.3,0.74,8.48,0.82,4.94,1.68,,,,,,99
Winter,OCSD,2/5/2008,726,1903,10,13.44,3.964,8.14,8.13,82.56,33.352,25.029,25.6,0.74,8.48,0.767,4.1,1.67,,,,,,99
Winter,OCSD,2/5/2008,726,1903,11,13.44,3.965,8.14,8.1,82.86,33.353,25.03,27.1,0.57,8.48,0.752,4.06,1.65,,,,,,99
Winter,OCSD,2/5/2008,726,1903,12,13.44,3.965,8.13,8.08,82.71,33.358,25.034,28.8,0.68,8.48,0.759,3.73,1.63,,,,,,99
Winter,OCSD,2/5/2008,726,1903,13,13.42,3.965,8.13,8.05,82.67,33.365,25.042,30.2,0.74,8.48,0.761,3.5,1.65,,,,,,99
Winter,OCSD,2/5/2008,726,1903,14,13.42,3.965,8.13,8,82.85,33.367,25.044,31.5,0.76,8.48,0.752,3.43,1.65,,,,,,99
Winter,OCSD,2/5/2008,726,1903,15,13.42,3.965,8.13,7.98,83.07,33.368,25.044,32.9,0.75,8.48,0.742,3.67,1.63,,,,,,99
Winter,OCSD,2/5/2008,726,1903,16,13.42,3.965,8.13,7.97,83.36,33.369,25.045,34.3,0.71,8.48,0.728,3.73,1.62,,,,,,99
Winter,OCSD,2/5/2008,726,1903,17,13.42,3.966,8.13,7.98,83.36,33.376,25.051,35.6,0.74,8.48,0.728,3.32,1.65,,,,,,99
Winter,OCSD,2/5/2008,726,1903,18,13.4,3.964,8.13,7.97,84.09,33.382,25.06,37.5,0.53,8.48,0.693,3.06,1.69,,,,,,99
Winter,OCSD,2/5/2008,726,1903,19,13.32,3.959,8.13,7.94,83.96,33.399,25.089,39.1,0.86,8.5,0.699,3.09,1.67,,,,,,99
Winter,OCSD,2/5/2008,726,1903,20,13.23,3.953,8.12,7.89,83.53,33.414,25.119,40.2,0.9,8.51,0.72,2.88,1.64,,,,,,99
Winter,OCSD,2/5/2008,726,1903,21,13.16,3.946,8.11,7.78,83.28,33.422,25.14,41.5,0.64,8.52,0.732,2.48,1.62,,,,,,99
Winter,OCSD,2/5/2008,726,1903,22,13.07,3.94,8.09,7.62,83.84,33.444,25.175,43.1,0.71,8.54,0.705,2.6,1.62,,,,,,99
Winter,OCSD,2/5/2008,726,1903,23,12.98,3.933,8.08,7.48,83.98,33.458,25.203,44.4,0.82,8.55,0.699,2.29,1.59,,,,,,99
Winter,OCSD,2/5/2008,726,1903,24,12.78,3.917,8.07,7.32,84.41,33.477,25.258,45.8,0.57,8.59,0.678,2.3,1.48,,,,,,99
Winter,OCSD,2/5/2008,726,1903,25,12.48,3.892,8.05,7.06,84.79,33.497,25.331,47.7,0.58,8.64,0.66,1.76,1.4,,,,,,99
Winter,OCSD,2/5/2008,726,1903,26,12.17,3.863,8.02,6.8,85.28,33.503,25.396,49.1,0.94,8.7,0.637,1.2,1.38,,,,,,99
Winter,OCSD,2/5/2008,726,1903,27,12.13,3.859,7.99,6.53,86.24,33.502,25.402,50.2,0.89,8.71,0.592,0.88,1.37,,,,,,99
Winter,OCSD,2/5/2008,726,1903,28,12.1,3.857,7.97,6.29,87.04,33.503,25.408,51.4,0.73,8.71,0.555,0.81,1.37,,,,,,99
Winter,OCSD,2/5/2008,726,1903,29,11.9,3.839,7.96,6.16,87.46,33.511,25.453,53,0.58,8.75,0.536,0.73,1.42,,,,,,99
Winter,OCSD,2/5/2008,726,1903,30,11.83,3.833,7.95,6.04,88.09,33.512,25.466,54.7,0.64,8.76,0.507,0.63,1.55,,,,,,99
Winter,OCSD,2/5/2008,726,1903,31,11.8,3.83,7.94,5.96,88.18,33.511,25.471,56.1,0.84,8.77,0.503,0.6,1.79,,,,,,99
Winter,OCSD,2/5/2008,726,1903,32,11.78,3.828,7.94,5.9,88.1,33.51,25.474,57.5,0.63,8.77,0.507,0.56,1.88,,,,,,99
Winter,OCSD,2/5/2008,726,1903,33,11.72,3.822,7.93,5.84,87.96,33.505,25.481,59,0.72,8.78,0.513,0.56,1.56,,,,,,99
Winter,OCSD,2/5/2008,726,1903,34,11.65,3.816,7.93,5.77,87.71,33.507,25.496,60.4,0.76,8.79,0.524,0.53,1.43,,,,,,99
Winter,OCSD,2/5/2008,726,1903,35,11.61,3.814,7.92,5.66,87.33,33.527,25.519,61.7,0.78,8.8,0.542,0.51,1.41,,,,,,99
Winter,OCSD,2/5/2008,726,1903,36,11.58,3.812,7.92,5.63,87.83,33.532,25.527,63.1,0.64,8.81,0.519,0.5,1.42,,,,,,99
Winter,OCSD,2/5/2008,726,1903,37,11.57,3.811,7.92,5.65,88.22,33.534,25.531,64.7,0.61,8.81,0.501,0.49,1.43,,,,,,99
Winter,OCSD,2/5/2008,726,1903,38,11.55,3.81,7.92,5.66,88.17,33.538,25.538,66.1,0.88,8.81,0.504,0.48,1.43,,,,,,99
Winter,OCSD,2/5/2008,726,1903,39,11.5,3.806,7.92,5.65,88.22,33.551,25.558,67.3,0.81,8.82,0.501,0.45,1.48,,,,,,99
Winter,OCSD,2/5/2008,726,1903,40,11.45,3.803,7.91,5.61,88.31,33.562,25.575,68.8,0.65,8.83,0.497,0.43,1.53,,,,,,99
Winter,OCSD,2/5/2008,726,1903,41,11.42,3.802,7.91,5.52,88.36,33.584,25.599,70.3,0.63,8.83,0.495,0.41,1.55,,,,,,99
Winter,OCSD,2/5/2008,726,1903,42,11.4,3.804,7.9,5.41,88.08,33.608,25.62,71.8,0.77,8.84,0.508,0.4,1.58,,,,,,99
Winter,OCSD,2/5/2008,726,1903,43,11.39,3.803,7.89,5.26,87.79,33.617,25.629,73,0.82,8.84,0.521,0.38,1.55,,,,,,99
Winter,OCSD,2/5/2008,726,1903,44,11.38,3.803,7.88,5.09,87.58,33.626,25.638,74.5,0.55,8.84,0.53,0.39,1.57,,,,,,99
Winter,OCSD,2/5/2008,726,1903,45,11.38,3.803,7.87,4.94,87.44,33.631,25.643,76.3,0.65,8.84,0.537,0.39,1.62,,,,,,99
Winter,OCSD,2/5/2008,726,1903,46,11.37,3.804,7.87,4.86,87.3,33.637,25.648,77.6,0.97,8.84,0.543,0.38,1.63,,,,,,99
Winter,OCSD,2/5/2008,726,1903,47,11.36,3.803,7.86,4.82,87.04,33.642,25.655,78.7,0.83,8.84,0.555,0.38,1.64,,,,,,99
Winter,OCSD,2/5/2008,726,1903,48,11.34,3.802,7.86,4.76,87.03,33.651,25.665,80,0.78,8.85,0.555,0.37,1.65,,,,,,99
Winter,OCSD,2/5/2008,726,1903,49,11.31,3.801,7.86,4.7,86.98,33.662,25.68,81.3,0.74,8.85,0.558,0.36,1.64,,,,,,99
Winter,OCSD,2/5/2008,726,1903,50,11.23,3.795,7.85,4.62,86.75,33.678,25.705,82.9,0.52,8.86,0.568,0.34,1.59,,,,,,99
Winter,OCSD,2/5/2008,726,1903,51,11.17,3.79,7.84,4.52,86.75,33.682,25.72,84.7,0.65,8.88,0.568,0.32,1.52,,,,,,99
Winter,OCSD,2/5/2008,726,1903,52,11.05,3.778,7.84,4.46,86.85,33.671,25.732,86.2,0.7,8.9,0.564,0.3,1.5,,,,,,99
Winter,OCSD,2/5/2008,726,1903,53,10.91,3.763,7.84,4.48,87.08,33.65,25.741,87.5,0.82,8.93,0.553,0.27,1.51,,,,,,99
Winter,OCSD,2/5/2008,726,1903,54,10.91,3.763,7.86,4.58,87.74,33.655,25.745,88.6,1.01,8.93,0.523,0.25,1.5,,,,,,99
Winter,OCSD,2/5/2008,726,1903,55,10.9,3.763,7.86,4.7,88.27,33.665,25.755,89.8,0.71,8.93,0.499,0.24,1.5,,,,,,99
Winter,OCSD,2/5/2008,726,1903,56,10.82,3.757,7.86,4.77,88.18,33.673,25.775,91.4,0.6,8.94,0.503,0.22,1.51,,,,,,99
Winter,OCSD,2/5/2008,726,1903,57,10.78,3.754,7.86,4.76,88.35,33.679,25.787,92.9,0.76,8.95,0.496,0.23,1.55,,,,,,99
Winter,OCSD,2/5/2008,726,1903,58,10.74,3.752,7.86,4.77,88.46,33.698,25.809,94.1,0.9,8.96,0.491,0.2,1.56,,,,,,99
Winter,OCSD,2/5/2008,726,1903,59,10.74,3.753,7.85,4.73,88.49,33.707,25.815,95.4,0.68,8.96,0.489,0.19,1.61,,,,,,99
Winter,OCSD,2/5/2008,726,1903,60,10.77,3.759,7.85,4.63,88.54,33.733,25.83,97.2,0.53,8.95,0.487,0.18,1.65,,,,,,99
Winter,OCSD,2/5/2008,726,1903,61,10.81,3.764,7.84,4.48,88.49,33.751,25.838,98.8,0.73,8.94,0.489,0.17,1.7,,,,,,99
Winter,OCSD,2/5/2008,726,1903,62,10.82,3.766,7.83,4.36,88.31,33.764,25.847,100.1,0.85,8.94,0.497,0.17,1.75,,,,,,99
Winter,OCSD,2/5/2008,726,1903,63,10.82,3.769,7.82,4.22,88.33,33.789,25.866,101.4,0.7,8.94,0.496,0.17,1.79,,,,,,99
Winter,OCSD,2/5/2008,726,1903,64,10.83,3.774,7.81,4.07,88.16,33.826,25.892,102.7,0.83,8.93,0.504,0.18,1.8,,,,,,99
Winter,OCSD,2/5/2008,726,1903,65,10.82,3.773,7.8,3.89,87.95,33.836,25.903,103.9,0.84,8.94,0.514,0.18,1.8,,,,,,99
Winter,OCSD,2/5/2008,726,1903,66,10.78,3.771,7.79,3.68,87.66,33.847,25.918,105.3,0.69,8.94,0.527,0.17,1.78,,,,,,99
Winter,OCSD,2/5/2008,726,1903,67,10.75,3.769,7.78,3.52,87.64,33.856,25.931,106.8,0.64,8.95,0.528,0.16,1.79,,,,,,99
Winter,OCSD,2/5/2008,726,1903,68,10.72,3.767,7.78,3.41,87.22,33.865,25.944,108.3,0.7,8.95,0.547,0.16,1.81,,,,,,99
Winter,OCSD,2/5/2008,726,1903,69,10.7,3.766,7.77,3.35,87.1,33.87,25.95,109.7,0.76,8.96,0.552,0.17,1.8,,,,,,99
Winter,OCSD,2/5/2008,726,1903,70,10.68,3.765,7.77,3.3,86.99,33.876,25.958,111.2,0.61,8.96,0.557,0.18,1.82,,,,,,99
Winter,OCSD,2/5/2008,726,1903,71,10.66,3.764,7.77,3.26,87.01,33.883,25.967,112.9,0.56,8.96,0.557,0.15,1.84,,,,,,99
Winter,OCSD,2/5/2008,726,1903,72,10.64,3.763,7.77,3.23,87.19,33.893,25.978,114.4,0.91,8.97,0.548,0.16,1.83,,,,,,99
Winter,OCSD,2/5/2008,726,1903,73,10.64,3.763,7.77,3.21,86.86,33.894,25.98,115.5,0.82,8.97,0.563,0.16,1.83,,,,,,99
Winter,OCSD,2/5/2008,726,1903,74,10.64,3.763,7.77,3.17,86.62,33.894,25.98,116.8,0.73,8.97,0.575,0.16,1.82,,,,,,99
Winter,OCSD,2/5/2008,726,1903,75,10.64,3.763,7.76,3.15,86.55,33.895,25.981,118.1,0.85,8.97,0.578,0.15,1.82,,,,,,99
Winter,OCSD,2/5/2008,726,1903,76,10.64,3.763,7.76,3.14,86.52,33.895,25.981,119.1,0.65,8.97,0.579,0.14,1.81,,,,,,99
Winter,OCSD,2/5/2008,738,1904,1,13.13,3.91,8.17,8.4,73.49,33.111,24.904,16.8,0.69,8.54,1.232,5.69,1.55,,,,,,99
Winter,OCSD,2/5/2008,738,1904,2,13.31,3.934,8.17,8.38,73.42,33.181,24.923,18,0.6,8.51,1.236,6.34,1.46,,,,,,99
Winter,OCSD,2/5/2008,738,1904,3,13.58,3.979,8.16,8.36,73.8,33.366,25.011,19.5,0.77,8.45,1.215,6.3,1.43,,,,,,99
Winter,OCSD,2/5/2008,738,1904,4,13.5,3.975,8.15,8.35,78.37,33.398,25.052,20.7,0.86,8.46,0.976,5.78,1.43,,,,,,99
Winter,OCSD,2/5/2008,738,1904,5,13.42,3.968,8.15,8.24,82.24,33.407,25.076,22.1,0.64,8.48,0.782,5.45,1.42,,,,,,99
Winter,OCSD,2/5/2008,738,1904,6,13.39,3.966,8.14,8.12,83.12,33.411,25.084,23.6,0.7,8.48,0.74,5.33,1.41,,,,,,99
Winter,OCSD,2/5/2008,738,1904,7,13.38,3.965,8.14,8.06,83.15,33.41,25.085,25.1,0.62,8.48,0.738,5.56,1.4,,,,,,99
Winter,OCSD,2/5/2008,738,1904,8,13.38,3.965,8.13,8.04,82.96,33.41,25.085,26.7,0.7,8.48,0.747,5.74,1.39,,,,,,99
Winter,OCSD,2/5/2008,738,1904,9,13.37,3.964,8.13,8.02,82.98,33.409,25.087,28.2,0.67,8.49,0.746,5.68,1.36,,,,,,99
Winter,OCSD,2/5/2008,738,1904,10,13.36,3.963,8.13,8.02,82.9,33.409,25.089,29.5,0.92,8.49,0.75,6.2,1.34,,,,,,99
Winter,OCSD,2/5/2008,738,1904,11,13.33,3.96,8.13,8.02,82.56,33.409,25.096,30.6,0.9,8.49,0.767,6.49,1.3,,,,,,99
Winter,OCSD,2/5/2008,738,1904,12,13.29,3.957,8.13,8.02,82.3,33.408,25.101,31.9,0.7,8.5,0.779,6.74,1.29,,,,,,99
Winter,OCSD,2/5/2008,738,1904,13,13.3,3.958,8.13,7.99,82.43,33.41,25.102,33.7,0.48,8.5,0.773,6.34,1.3,,,,,,99
Winter,OCSD,2/5/2008,738,1904,14,13.31,3.959,8.13,7.98,82.7,33.414,25.104,35.3,0.95,8.5,0.76,5.96,1.32,,,,,,99
Winter,OCSD,2/5/2008,738,1904,15,13.3,3.959,8.13,7.98,82.9,33.415,25.105,36.4,0.87,8.5,0.75,5.81,1.33,,,,,,99
Winter,OCSD,2/5/2008,738,1904,16,13.3,3.958,8.13,7.98,83.31,33.415,25.106,37.8,0.62,8.5,0.73,5.72,1.32,,,,,,99
Winter,OCSD,2/5/2008,738,1904,17,13.3,3.958,8.13,7.96,83.39,33.414,25.106,39.3,0.84,8.5,0.726,5.57,1.32,,,,,,99
Winter,OCSD,2/5/2008,738,1904,18,13.3,3.959,8.13,7.96,83.6,33.415,25.106,40.4,0.86,8.5,0.716,5.53,1.32,,,,,,99
Winter,OCSD,2/5/2008,738,1904,19,13.29,3.958,8.13,7.95,83.76,33.414,25.107,42.1,0.49,8.5,0.709,5.33,1.33,,,,,,99
Winter,OCSD,2/5/2008,738,1904,20,13.29,3.958,8.13,7.94,83.88,33.415,25.107,43.9,0.83,8.5,0.703,5.14,1.37,,,,,,99
Winter,OCSD,2/5/2008,738,1904,21,13.28,3.957,8.13,7.94,83.95,33.413,25.108,45,1,8.5,0.7,5.18,1.4,,,,,,99
Winter,OCSD,2/5/2008,738,1904,22,13.27,3.956,8.13,7.93,83.92,33.411,25.109,46,0.9,8.5,0.701,5.06,1.43,,,,,,99
Winter,OCSD,2/5/2008,738,1904,23,13.26,3.954,8.12,7.91,84.03,33.409,25.109,47.4,0.63,8.51,0.696,4.69,1.41,,,,,,99
Winter,OCSD,2/5/2008,738,1904,24,13.24,3.953,8.12,7.89,84.33,33.409,25.113,49.1,0.6,8.51,0.682,4.22,1.34,,,,,,99
